Entity,Food Category,Sum of Production Value,Sum of Year,Target
Afghanistan,Apples Production (tonnes),3069366.5500000003,121451,613873.31
Afghanistan,Avocados Production (tonnes),18670128.359999996,121451,3734025.6719999993
Afghanistan,Bananas  Production (tonnes),589091988,121451,117818397.60000001
Afghanistan,Cocoa beans Production (tonnes),114050446.59999998,121451,22810089.319999997
Afghanistan,"Coffee, green Production (tonnes)",70476760.64,121451,14095352.128
Afghanistan,Grapes  Production (tonnes),27260127.6,121451,5452025.5200000005
Afghanistan,Maize Production (tonnes),29929795,121451,5985959
Afghanistan,"Meat, chicken  Production (tonnes)",965759.0199999999,121451,193151.804
Afghanistan,Oranges  Production (tonnes),690526.3500000002,121451,138105.27000000005
Afghanistan,Palm oil  Production (tonnes),105755474.7,121451,21151094.94
Afghanistan,"Peas, dry Production (tonnes)",21596474.060000002,121451,4319294.812000001
Afghanistan,Potatoes  Production (tonnes),16730528,121451,3346105.6
Afghanistan,Rice  Production (tonnes),24579876.62,121451,4915975.324
Afghanistan,Rye  Production (tonnes),2294834.3989999997,121451,458966.8798
Afghanistan,Soybeans  Production (tonnes),61021658.54,121451,12204331.708
Afghanistan,Sugar cane Production (tonnes),3314614.0300000003,121451,662922.8060000001
Afghanistan,Sunflower seed  Production (tonnes),706580.73,121451,141316.146
Afghanistan,Sweet potatoes  Production (tonnes),634619708.5,121451,126923941.7
Afghanistan,Tea  Production (tonnes),10276735,121451,2055347
Afghanistan,Tomatoes Production (tonnes),613643879.5,121451,122728775.9
Afghanistan,Wheat Production (tonnes),175353720,121451,35070744
Afghanistan,Yams  Production (tonnes),1867137113,121451,373427422.6
Africa,Apples Production (tonnes),78718846.40000002,121451,15743769.280000005
Africa,Avocados Production (tonnes),18670128.289999995,121451,3734025.6579999994
Africa,Bananas  Production (tonnes),597541984,121451,119508396.80000001
Africa,Cocoa beans Production (tonnes),114050446.79999998,121451,22810089.36
Africa,"Coffee, green Production (tonnes)",70476760.50000001,121451,14095352.100000003
Africa,Grapes  Production (tonnes),190730671.2,121451,38146134.24
Africa,Maize Production (tonnes),2555105083,121451,511021016.6
Africa,"Meat, chicken  Production (tonnes)",147314679.11,121451,29462935.822000004
Africa,Oranges  Production (tonnes),296669991.3,121451,59333998.260000005
Africa,Palm oil  Production (tonnes),103491710.7,121451,20698342.14
